1,4
2,4
3,4
4,4
5,4
6,7
7,7
8,7
9,7
10,7
11,8
12,8
13,8
14,8
15,8
16,9
17,9
18,9
19,9
20,9
21,10
22,10
23,10
24,10
25,10
26,2
27,2
28,2
29,2
30,2
31,1
32,1
33,1
34,1
35,1
36,0
37,0
38,0
39,0
40,0
41,3
42,3
43,3
44,3
45,3
46,2
47,2
48,2
49,2
50,2
51,5
52,5
53,5
54,5
55,5
56,3
57,3
58,3
59,3
60,3
61,11
62,11
63,11
64,11
65,11
66,12
67,12
68,12
69,12
70,12
71,13
72,13
73,13
74,13
75,13
76,6
77,6
78,6
79,6
80,6
81,4
82,4
83,4
84,4
85,4
86,14
87,14
88,14
89,14
90,14
91,5
92,5
93,5
94,5
95,5
96,0
97,0
98,0
99,0
100,0
101,6
102,6
103,6
104,6
105,6
106,0
107,0
108,0
109,0
110,0
111,15
112,15
113,15
114,15
115,15
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
