1,2
2,0
3,2
4,2
5,3
6,3
7,1
8,4
9,0
10,2
11,0
12,0
13,5
14,0
15,2
16,0
17,1
18,5
19,0
20,0
21,1
22,2
23,0
24,1
25,0
26,1
27,0
28,3
29,1
30,0
31,2
32,1
33,1
34,1
35,5
36,3
37,0
38,2
39,0
40,0
41,5
42,0
43,4
44,5
45,0
46,1
47,1
48,3
49,0
50,0
51,3
52,1
53,2
54,4
55,1
56,2
57,1
58,1
59,2
60,1
61,4
62,1
63,1
64,0
65,4
66,5
67,0
68,0
69,2
70,2
71,2
72,5
73,2
74,1
75,4
76,4
77,0
78,0
79,4
80,1
81,0
82,0
83,4
84,2
85,0
86,2
87,0
88,5
89,3
90,0
91,4
92,0
93,5
94,1
95,0
96,0
97,1
98,5
99,0
100,1
101,2
102,3
103,0
104,1
105,1
106,3
107,3
108,0
109,2
110,3
111,3
112,3
113,1
114,1
115,4
